Time,Icc,Pm,Vwind,Pout,Vcc,S1.Pm,S1.Cp,S1.pitch,S1.v_ms,S1.lambda,S1.RPM,S1.rad_s,S1.torque
0.072,-2.69296e-006,2.05957,100.8,-1.25046e-005,18,28.794,0.0681665,15,28,2.23106,5965.41,624.696,0.00329692
0.073,-2.69296e-006,1.99127,100.8,-1.27775e-005,18,28.8842,0.06838,15,28,2.23411,5973.57,625.551,0.00318323
0.074,-2.69296e-006,2.06521,100.8,-1.30513e-005,18,28.9748,0.0685946,15,28,2.23717,5981.75,626.407,0.00329692
0.075,-2.69296e-006,1.99673,100.8,-1.33258e-005,18,29.0659,0.0688101,15,28,2.24023,5989.94,627.265,0.00318323
0.076,-2.69296e-006,2.07088,100.8,-1.36011e-005,18,29.1573,0.0690266,15,28,2.2433,5998.15,628.125,0.00329692
0.077,-2.69296e-006,2.07372,100.8,-1.3877e-005,18,29.2492,0.0692441,15,28,2.24638,6006.37,628.986,0.00329692
0.078,-2.69296e-006,2.07656,100.8,-1.41536e-005,18,29.3415,0.0694626,15,28,2.24946,6014.61,629.848,0.00329692
0.079,-2.68585e-006,2.15111,100.8,-1.44307e-005,18,29.4342,0.0696821,15,28,2.25254,6022.86,630.713,0.00341061
0.08,-2.69296e-006,2.08226,100.8,-1.47084e-005,18,29.5274,0.0699026,15,28,2.25563,6031.13,631.578,0.00329692
0.081,-2.68585e-006,2.15702,100.8,-1.49865e-005,18,29.6209,0.0701242,15,28,2.25873,6039.41,632.446,0.00341061
0.082,-2.69296e-006,2.15998,100.8,-1.52651e-005,18,29.7149,0.0703467,15,28,2.26183,6047.71,633.314,0.00341061
0.083,-2.70006e-006,2.16295,100.8,-1.55439e-005,18,29.8094,0.0705703,15,28,2.26494,6056.02,634.185,0.00341061
0.084,-2.69296e-006,2.09373,100.8,-1.58232e-005,18,29.9043,0.070795,15,28,2.26806,6064.34,635.057,0.00329692
0.085,-2.68585e-006,2.09661,100.8,-1.61026e-005,18,29.9996,0.0710206,15,28,2.27118,6072.69,635.93,0.00329692
0.086,-2.69296e-006,2.17189,100.8,-1.63823e-005,18,30.0954,0.0712474,15,28,2.2743,6081.04,636.805,0.00341061
0.087,-2.68585e-006,2.10239,100.8,-1.66621e-005,18,30.1916,0.0714752,15,28,2.27743,6089.41,637.682,0.00329692
0.088,-2.69296e-006,2.17788,100.8,-1.69421e-005,18,30.2883,0.071704,15,28,2.28057,6097.8,638.56,0.00341061
0.089,-2.69296e-006,2.10818,100.8,-1.72221e-005,18,30.3854,0.0719339,15,28,2.28371,6106.2,639.44,0.00329692
0.09,-2.69296e-006,2.18388,100.8,-1.75022e-005,18,30.483,0.0721649,15,28,2.28686,6114.62,640.322,0.00341061
0.091,-2.68585e-006,2.1869,100.8,-1.77823e-005,18,30.581,0.072397,15,28,2.29002,6123.05,641.205,0.00341061
0.092,-2.69296e-006,2.18991,100.8,-1.80622e-005,18,30.6795,0.0726302,15,28,2.29317,6131.5,642.089,0.00341061
0.093,-2.69296e-006,2.19294,100.8,-1.83421e-005,18,30.7784,0.0728644,15,28,2.29634,6139.97,642.976,0.00341061
0.094,-2.69296e-006,2.19597,100.8,-1.86219e-005,18,30.8779,0.0730998,15,28,2.29951,6148.45,643.864,0.00341061
0.095,-2.69296e-006,2.199,100.8,-1.89014e-005,18,30.9778,0.0733363,15,28,2.30269,6156.94,644.754,0.00341061
0.096,-2.69296e-006,2.20204,100.8,-1.91808e-005,18,31.0781,0.0735739,15,28,2.30587,6165.45,645.645,0.00341061
0.097,-2.69296e-006,2.20509,100.8,-1.94598e-005,18,31.179,0.0738127,15,28,2.30906,6173.98,646.538,0.00341061
0.098,-2.6894e-006,2.20814,100.8,-1.97386e-005,18,31.2803,0.0740525,15,28,2.31226,6182.53,647.433,0.00341061
