time,cable_length,apparent_wind,airfoil_vel
21,447.620477771685,25.7896162546085,22.3103881893242
21.2,448.080138572828,25.791562643275,22.2278032274763
21.4,448.539736934762,25.7990105653378,22.1595984567197
21.6,448.999248957128,25.8082187026854,22.1019982169556
21.8,449.45864924239,25.8191276243107,22.057238899723
22,449.917910320113,25.832585338441,22.0275401454754
22.2,450.377002076481,25.849665535637,22.0153023388962
22.4,450.835891194587,25.8715844953458,22.0233001684453
22.6,451.294540606751,25.8997317360761,22.0548177900645
22.8,451.752908966718,25.9357087599582,22.1137438613786
23,452.210950159047,25.981358785763,22.2046420075225
23.2,452.668612875829,26.0387857237375,22.3327981341816
23.4,453.125840308659,26.1103590835181,22.504231343006
23.6,453.582570028569,26.1986129515325,22.7255550552259
23.8,454.038734170475,26.3031488470415,23.0007018208948
